#{"t_start": 1553770301.462264, "env_id": "Snake-v0"}
r,l,t
43.0,64,1627.368822
21.6,80,1629.044996
11.3,46,1629.23021
53.4,143,1631.176056
-10.4,1925,1659.143549
53.7,110,1660.943994
85.1,241,1664.649498
12.7,144,1666.693114
-9.9,8,1666.725004
0.3,149,1668.792099
64.6,114,1670.744404
0.9,53,1672.696088
11.7,72,1673.427942
42.2,102,1677.653061
22.6,40,1678.005294
52.6,251,1683.607238
-9.9,56,1685.936152
11.8,93,1686.344891
86.4,170,1690.74736
1.1,141,1693.097321
53.6,141,1695.056106
75.8,439,1700.994459
10.9,44,1702.527453
11.3,22,1702.619185
1.0,60,1702.875144
1.9,29,1704.348637
0.9,69,1704.636866
0.4,40,1704.798918
64.0,262,1709.917977
-9.2,9,1709.955745
21.8,380,1715.671141
117.3,346,1720.171899
21.2,46,1722.571232
-9.9,10,1722.641211
10.0,465,1731.363382
53.5,94,1733.97202
10.4,17,1734.096272
-9.6,17,1734.227409
1.3,271,1740.058691
86.4,184,1745.843879
11.2,47,1746.097155
32.8,69,1748.191563
64.4,212,1750.806333
94.9,232,1754.752282
20.2,66,1756.522843
11.4,39,1756.697295
31.3,56,1759.123692
75.6,231,1762.055907
-9.4,11,1762.119024
105.4,384,1768.397058
63.6,130,1770.379967
-8.7,306,1775.849885
42.3,271,1779.709771
117.3,210,1783.299992
64.5,239,1785.661738
74.0,195,1789.154372
11.0,793,1800.649788
-10,1,1800.654288
11.1,44,1802.686554
22.4,218,1805.451166
-10.1,288,1809.59748
73.2,335,1815.120507
10.3,12,1815.169837
11.0,19,1815.252945
85.7,187,1818.776375
106.5,319,1822.785844
86.0,346,1828.694214
76.4,149,1830.846911
-10.2,11,1830.890894
136.7,358,1837.424119
22.1,67,1839.45808
74.5,130,1841.621863
75.1,218,1844.563607
54.1,76,1846.303203
12.4,53,1846.531011
12.1,26,1846.637279
43.0,82,1848.350532
11.8,55,1849.949182
83.6,142,1851.916759
22.2,210,1854.166105
108.5,259,1858.00493
22.3,81,1859.707251
21.9,45,1859.889153
119.1,382,1865.54372
64.5,241,1869.270278
1.3,67,1870.917418
22.3,55,1871.13878
32.7,112,1872.955602
0.5,17,1873.025376
43.8,122,1874.881022
87.4,204,1878.497713
53.3,94,1878.886289
33.5,66,1880.51937
1.9,23,1880.609749
-10,1,1880.613863
42.2,62,1882.235191
51.2,121,1884.089652
115.2,277,1888.097809
0.7,11,1888.143251
97.4,203,1890.74739
77.5,158,1894.85948
-9.3,24,1894.958448
103.4,222,1898.601902
72.2,243,1900.987529
11.1,26,1902.512387
42.6,126,1904.774224
22.6,46,1904.967789
106.6,228,1908.646876
32.8,73,1908.949087
31.1,88,1910.69309
0.3,9,1910.731237
-10.1,8,1910.765558
1.2,38,1910.920383
22.1,35,1912.434915
126.5,231,1916.152857
22.8,64,1916.420425
10.3,366,1922.020425
106.5,291,1925.945241
11.6,59,1927.546409
65.2,152,1929.510745
-10.1,2,1929.519335
116.8,481,1937.032436
106.2,278,1941.057201
1.5,31,1941.185331
0.4,38,1941.340656
11.2,41,1942.901772
52.3,168,1945.055126
0.0,38,1945.253847
0.0,10,1945.302427
22.0,34,1947.567016
43.8,264,1953.011615
62.6,122,1955.233593
12.2,57,1955.493802
74.0,215,1959.699196
42.1,151,1962.01251
21.4,54,1962.273903
105.1,199,1966.443287
33.0,223,1970.689824
82.8,190,1973.289275
1.4,30,1973.431192
94.6,801,1989.041239
-10.6,23,1989.152516
-9.1,144,1991.442837
84.4,102,1993.567655
-10.0,3,1993.580817
106.3,363,2000.052768
63.8,270,2004.518675
1.0,26,2004.657352
1.6,18,2004.739808
